2.8728 	WARNING 	We strongly recommend you activate the PTB sound engine in PsychoPy prefs as the preferred audio engine. Its timing is vastly superior. Your prefs are currently set to use ['sounddevice', 'PTB', 'pyo', 'pygame'] (in that order).
112.5168 	EXP 	window1: recordFrameIntervals = False
112.5176 	DATA 	Keypress: left
112.5319 	EXP 	fixation: autoDraw = False
112.5319 	EXP 	grating: autoDraw = False
112.5320 	EXP 	window1: recordFrameIntervals = False
113.5061 	EXP 	fixation: autoDraw = True
113.9004 	DATA 	Keypress: right
114.5149 	EXP 	fixation: autoDraw = False
114.5316 	EXP 	grating: autoDraw = True
114.5316 	EXP 	grating: tex = 'sin'
114.8317 	EXP 	grating: autoDraw = False
115.1330 	EXP 	window1: recordFrameIntervals = False
115.1338 	DATA 	Keypress: left
115.1481 	EXP 	fixation: autoDraw = False
115.1481 	EXP 	grating: autoDraw = False
115.1483 	EXP 	window1: recordFrameIntervals = False
116.1206 	EXP 	fixation: autoDraw = True
117.1313 	EXP 	fixation: autoDraw = False
117.1479 	EXP 	grating: autoDraw = True
117.1479 	EXP 	grating: tex = 'sin'
117.4477 	EXP 	grating: autoDraw = False
117.6658 	EXP 	window1: recordFrameIntervals = False
117.6665 	DATA 	Keypress: right
117.6812 	EXP 	fixation: autoDraw = False
117.6812 	EXP 	grating: autoDraw = False
117.6813 	EXP 	window1: recordFrameIntervals = False
118.6544 	EXP 	fixation: autoDraw = True
119.6640 	EXP 	fixation: autoDraw = False
119.6806 	EXP 	grating: autoDraw = True
119.6806 	EXP 	grating: tex = 'sin'
119.9804 	EXP 	grating: autoDraw = False
120.3489 	EXP 	window1: recordFrameIntervals = False
120.3495 	DATA 	Keypress: right
120.3641 	EXP 	fixation: autoDraw = False
120.3641 	EXP 	grating: autoDraw = False
120.3642 	EXP 	window1: recordFrameIntervals = False
121.3385 	EXP 	fixation: autoDraw = True
122.3472 	EXP 	fixation: autoDraw = False
122.3639 	EXP 	grating: autoDraw = True
122.3639 	EXP 	grating: tex = 'sin'
122.6638 	EXP 	grating: autoDraw = False
122.8156 	EXP 	window1: recordFrameIntervals = False
122.8165 	DATA 	Keypress: left
122.8306 	EXP 	fixation: autoDraw = False
122.8306 	EXP 	grating: autoDraw = False
122.8307 	EXP 	window1: recordFrameIntervals = False
123.8041 	EXP 	fixation: autoDraw = True
124.8136 	EXP 	fixation: autoDraw = False
124.8304 	EXP 	grating: autoDraw = True
124.8304 	EXP 	grating: tex = 'sin'
125.1302 	EXP 	grating: autoDraw = False
125.3652 	EXP 	window1: recordFrameIntervals = False
125.3660 	DATA 	Keypress: right
125.3802 	EXP 	fixation: autoDraw = False
125.3802 	EXP 	grating: autoDraw = False
125.3804 	EXP 	window1: recordFrameIntervals = False
126.3538 	EXP 	fixation: autoDraw = True
127.3633 	EXP 	fixation: autoDraw = False
127.3800 	EXP 	grating: autoDraw = True
127.3800 	EXP 	grating: tex = 'sin'
127.6798 	EXP 	grating: autoDraw = False
127.9479 	DATA 	Keypress: left
127.9647 	EXP 	window1: recordFrameIntervals = False
127.9798 	EXP 	fixation: autoDraw = False
127.9798 	EXP 	grating: autoDraw = False
127.9799 	EXP 	window1: recordFrameIntervals = False
128.9538 	EXP 	fixation: autoDraw = True
129.9629 	EXP 	fixation: autoDraw = False
129.9797 	EXP 	grating: autoDraw = True
129.9797 	EXP 	grating: tex = 'sin'
130.2796 	EXP 	grating: autoDraw = False
130.5644 	EXP 	window1: recordFrameIntervals = False
130.5652 	DATA 	Keypress: left
130.5795 	EXP 	fixation: autoDraw = False
130.5795 	EXP 	grating: autoDraw = False
130.5797 	EXP 	window1: recordFrameIntervals = False
131.5532 	EXP 	fixation: autoDraw = True
132.5626 	EXP 	fixation: autoDraw = False
132.5794 	EXP 	grating: autoDraw = True
132.5794 	EXP 	grating: tex = 'sin'
132.8793 	EXP 	grating: autoDraw = False
133.0640 	EXP 	window1: recordFrameIntervals = False
133.0647 	DATA 	Keypress: left
133.0794 	EXP 	fixation: autoDraw = False
133.0794 	EXP 	grating: autoDraw = False
133.0795 	EXP 	window1: recordFrameIntervals = False
134.0523 	EXP 	fixation: autoDraw = True
135.0623 	EXP 	fixation: autoDraw = False
135.0789 	EXP 	grating: autoDraw = True
135.0789 	EXP 	grating: tex = 'sin'
135.3789 	EXP 	grating: autoDraw = False
135.6805 	EXP 	window1: recordFrameIntervals = False
135.6813 	DATA 	Keypress: right
135.6955 	EXP 	fixation: autoDraw = False
135.6955 	EXP 	grating: autoDraw = False
135.6956 	EXP 	window1: recordFrameIntervals = False
136.6694 	EXP 	fixation: autoDraw = True
137.6786 	EXP 	fixation: autoDraw = False
137.6954 	EXP 	grating: autoDraw = True
137.6954 	EXP 	grating: tex = 'sin'
137.9953 	EXP 	grating: autoDraw = False
138.1635 	EXP 	window1: recordFrameIntervals = False
138.1643 	DATA 	Keypress: right
138.1785 	EXP 	fixation: autoDraw = False
138.1785 	EXP 	grating: autoDraw = False
138.1787 	EXP 	window1: recordFrameIntervals = False
139.1523 	EXP 	fixation: autoDraw = True
140.1616 	EXP 	fixation: autoDraw = False
140.1782 	EXP 	grating: autoDraw = True
140.1782 	EXP 	grating: tex = 'sin'
140.4782 	EXP 	grating: autoDraw = False
140.5631 	EXP 	window1: recordFrameIntervals = False
140.5637 	DATA 	Keypress: left
140.5782 	EXP 	fixation: autoDraw = False
140.5782 	EXP 	grating: autoDraw = False
140.5784 	EXP 	window1: recordFrameIntervals = False
141.5507 	EXP 	fixation: autoDraw = True
142.5614 	EXP 	fixation: autoDraw = False
142.5781 	EXP 	grating: autoDraw = True
142.5781 	EXP 	grating: tex = 'sin'
142.8779 	EXP 	grating: autoDraw = False
143.1297 	EXP 	window1: recordFrameIntervals = False
143.1307 	DATA 	Keypress: right
143.1444 	EXP 	fixation: autoDraw = False
143.1444 	EXP 	grating: autoDraw = False
143.1446 	EXP 	window1: recordFrameIntervals = False
144.1178 	EXP 	fixation: autoDraw = True
145.1275 	EXP 	fixation: autoDraw = False
145.1444 	EXP 	grating: autoDraw = True
145.1444 	EXP 	grating: tex = 'sin'
145.4443 	EXP 	grating: autoDraw = False
145.6795 	EXP 	window1: recordFrameIntervals = False
145.6804 	DATA 	Keypress: right
145.6942 	EXP 	fixation: autoDraw = False
145.6942 	EXP 	grating: autoDraw = False
145.6944 	EXP 	window1: recordFrameIntervals = False
146.6685 	EXP 	fixation: autoDraw = True
147.6773 	EXP 	fixation: autoDraw = False
147.6940 	EXP 	grating: autoDraw = True
147.6940 	EXP 	grating: tex = 'sin'
147.9938 	EXP 	grating: autoDraw = False
148.1628 	EXP 	window1: recordFrameIntervals = False
148.1637 	DATA 	Keypress: left
148.1773 	EXP 	fixation: autoDraw = False
148.1773 	EXP 	grating: autoDraw = False
148.1774 	EXP 	window1: recordFrameIntervals = False
149.1513 	EXP 	fixation: autoDraw = True
150.1605 	EXP 	fixation: autoDraw = False
150.1769 	EXP 	grating: autoDraw = True
150.1769 	EXP 	grating: tex = 'sin'
150.4768 	EXP 	grating: autoDraw = False
150.7119 	EXP 	window1: recordFrameIntervals = False
