trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,num_distr,fixation.started,target.started,mouse.started,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,participant,session,date,expName,psychopyVersion,frameRate,
126,0,126,0,5,252.1437107999809,252.1437107999809,0.011068499996326864,[-0.39537037037037037],[-0.037037037037037035],[1],[0],[0],[1.918672500003595],['target'],339457,001,2022-09-28_16h02.23.636,Visual Search Experiment,2022.2.2,60.001788052928845,
127,0,127,0,10,254.0912876999937,254.0912876999937,0.0213586000027135,[-0.30648148148148147],[-0.1527777777777778],[1],[0],[0],[1.7746389000094496],['target'],339457,001,2022-09-28_16h02.23.636,Visual Search Experiment,2022.2.2,60.001788052928845,
128,0,128,0,5,255.8782668999629,255.8782668999629,0.012826200050767511,[0.0824074074074074],[-0.3962962962962963],[1],[0],[0],[1.9003804000094533],['target'],339457,001,2022-09-28_16h02.23.636,Visual Search Experiment,2022.2.2,60.001788052928845,
129,0,129,0,10,257.8078107999754,257.8078107999754,0.021574099955614656,[-0.2074074074074074],[-0.21666666666666667],[1],[0],[0],[1.6905469999765046],['target'],339457,001,2022-09-28_16h02.23.636,Visual Search Experiment,2022.2.2,60.001788052928845,
130,0,130,0,10,259.52176439994946,259.52176439994946,0.02131009998265654,[-0.36574074074074076],[0.026851851851851852],[1],[0],[0],[1.8092172999749891],['target'],339457,001,2022-09-28_16h02.23.636,Visual Search Experiment,2022.2.2,60.001788052928845,
131,0,131,0,5,261.34733219997725,261.34733219997725,0.014883600000757724,[-0.2657407407407407],[0.21203703703703702],[1],[0],[0],[1.3809140999801457],['target'],339457,001,2022-09-28_16h02.23.636,Visual Search Experiment,2022.2.2,60.001788052928845,
132,0,132,0,10,262.7577889999957,262.7577889999957,0.021898799983318895,[-0.2212962962962963],[0.06851851851851852],[1],[0],[0],[1.3406273999717087],['target'],339457,001,2022-09-28_16h02.23.636,Visual Search Experiment,2022.2.2,60.001788052928845,
133,0,133,0,5,264.1092859999626,264.1092859999626,0.01157879998208955,[-0.008333333333333333],[0.2037037037037037],[1],[0],[0],[1.6182726000552066],['target'],339457,001,2022-09-28_16h02.23.636,Visual Search Experiment,2022.2.2,60.001788052928845,
134,0,134,0,10,265.75688020000234,265.75688020000234,0.021629700029734522,[-0.3814814814814815],[0.4898148148148148],[1],[0],[0],[2.157911900023464],['target'],339457,001,2022-09-28_16h02.23.636,Visual Search Experiment,2022.2.2,60.001788052928845,
135,0,135,0,5,267.92565119999927,267.92565119999927,0.011606000014580786,[0.1787037037037037],[0.1175925925925926],[1],[0],[0],[1.634987999976147],['target'],339457,001,2022-09-28_16h02.23.636,Visual Search Experiment,2022.2.2,60.001788052928845,
136,0,136,0,5,269.5786498999805,269.5786498999805,0.012487900035921484,[0.21296296296296297],[-0.412962962962963],[1],[0],[0],[2.0153700000373647],['target'],339457,001,2022-09-28_16h02.23.636,Visual Search Experiment,2022.2.2,60.001788052928845,
137,0,137,0,5,271.60867369995685,271.60867369995685,0.011643800011370331,[0.3277777777777778],[0.1425925925925926],[1],[0],[0],[1.5506932999705896],['target'],339457,001,2022-09-28_16h02.23.636,Visual Search Experiment,2022.2.2,60.001788052928845,
138,0,138,0,5,273.1755744999973,273.1755744999973,0.01236839999910444,[-0.2777777777777778],[-0.10462962962962963],[1],[0],[0],[1.48400739999488],['target'],339457,001,2022-09-28_16h02.23.636,Visual Search Experiment,2022.2.2,60.001788052928845,
139,0,139,0,10,274.69729579996783,274.69729579996783,0.027964199951384217,[-0.4361111111111111],[-0.023148148148148147],[1],[0],[0],[1.948669900011737],['target'],339457,001,2022-09-28_16h02.23.636,Visual Search Experiment,2022.2.2,60.001788052928845,
140,0,140,0,5,276.6613499999512,276.6613499999512,0.014538299990817904,[-0.25833333333333336],[-0.48518518518518516],[1],[0],[0],[1.9477480000350624],['target'],339457,001,2022-09-28_16h02.23.636,Visual Search Experiment,2022.2.2,60.001788052928845,
141,0,141,0,5,278.63160669995705,278.63160669995705,0.01709049998316914,[-0.1527777777777778],[-0.09351851851851851],[1],[0],[0],[1.3935695000109263],['target'],339457,001,2022-09-28_16h02.23.636,Visual Search Experiment,2022.2.2,60.001788052928845,
142,0,142,0,5,280.05099329998484,280.05099329998484,0.018874900008086115,[-0.47962962962962963],[0.3648148148148148],[1],[0],[0],[1.6077147000469267],['target'],339457,001,2022-09-28_16h02.23.636,Visual Search Experiment,2022.2.2,60.001788052928845,
143,0,143,0,5,281.67423599999165,281.67423599999165,0.011974700028076768,[0.026851851851851852],[0.36574074074074076],[1],[0],[0],[1.5844942000112496],['target'],339457,001,2022-09-28_16h02.23.636,Visual Search Experiment,2022.2.2,60.001788052928845,
144,0,144,0,10,283.287989799981,283.287989799981,0.021322400018107146,[0.31296296296296294],[0.03888888888888889],[1],[0],[0],[1.6582309000077657],['target'],339457,001,2022-09-28_16h02.23.636,Visual Search Experiment,2022.2.2,60.001788052928845,
