4.5979 	WARNING 	We strongly recommend you activate the PTB sound engine in PsychoPy prefs as the preferred audio engine. Its timing is vastly superior. Your prefs are currently set to use ['sounddevice', 'PTB', 'pyo', 'pygame'] (in that order).
72.5167 	EXP 	fixation: autoDraw = False
72.5167 	EXP 	grating: autoDraw = True
72.8167 	EXP 	grating: autoDraw = False
73.1522 	DATA 	Keypress: down
73.1709 	EXP 	New trial (rep=36, index=0): None
73.1834 	EXP 	fixation: autoDraw = False
73.1834 	EXP 	grating: autoDraw = False
73.1834 	EXP 	grating: ori = 4.0
73.1834 	EXP 	fixation: autoDraw = True
73.3361 	DATA 	Keypress: up
74.1833 	EXP 	fixation: autoDraw = False
74.1833 	EXP 	grating: autoDraw = True
74.4830 	EXP 	grating: autoDraw = False
74.7893 	EXP 	New trial (rep=37, index=0): None
74.7927 	DATA 	Keypress: down
74.7998 	EXP 	fixation: autoDraw = False
74.7998 	EXP 	grating: autoDraw = False
74.7998 	EXP 	grating: ori = 2.0
74.7998 	EXP 	fixation: autoDraw = True
75.7997 	EXP 	fixation: autoDraw = False
75.7997 	EXP 	grating: autoDraw = True
76.0995 	EXP 	grating: autoDraw = False
76.5207 	EXP 	New trial (rep=38, index=0): None
76.5234 	DATA 	Keypress: down
76.5331 	EXP 	fixation: autoDraw = False
76.5331 	EXP 	grating: autoDraw = False
76.5331 	EXP 	grating: ori = -4.0
76.5331 	EXP 	fixation: autoDraw = True
77.5327 	EXP 	fixation: autoDraw = False
77.5327 	EXP 	grating: autoDraw = True
77.8327 	EXP 	grating: autoDraw = False
78.0035 	EXP 	New trial (rep=39, index=0): None
78.0060 	DATA 	Keypress: up
78.0161 	EXP 	fixation: autoDraw = False
78.0161 	EXP 	grating: autoDraw = False
78.0161 	EXP 	grating: ori = -5.0
78.0161 	EXP 	fixation: autoDraw = True
79.0160 	EXP 	fixation: autoDraw = False
79.0160 	EXP 	grating: autoDraw = True
79.3157 	EXP 	grating: autoDraw = False
79.7857 	EXP 	New trial (rep=40, index=0): None
79.7880 	DATA 	Keypress: down
79.7989 	EXP 	fixation: autoDraw = False
79.7989 	EXP 	grating: autoDraw = False
79.7989 	EXP 	grating: ori = -1.0
79.7989 	EXP 	fixation: autoDraw = True
80.7988 	EXP 	fixation: autoDraw = False
80.7988 	EXP 	grating: autoDraw = True
81.0989 	EXP 	grating: autoDraw = False
81.7698 	EXP 	New trial (rep=41, index=0): None
81.7722 	DATA 	Keypress: up
81.7823 	EXP 	fixation: autoDraw = False
81.7823 	EXP 	grating: autoDraw = False
81.7823 	EXP 	grating: ori = 0.0
81.7823 	EXP 	fixation: autoDraw = True
82.7822 	EXP 	fixation: autoDraw = False
82.7822 	EXP 	grating: autoDraw = True
83.0822 	EXP 	grating: autoDraw = False
83.4367 	EXP 	New trial (rep=42, index=0): None
